ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
250010,200401,585,48355.0
250020,200401,702,49360.0
250030,200401,2403,185515.0
250040,200401,1342,102530.0
250050,200401,1153,89105.0
250053,200401,406,31625.0
250057,200401,147,11170.0
250060,200401,142,11745.0
250070,200401,1281,82940.0
250073,200401,216,15330.0
250077,200401,416,29375.0
250080,200401,977,75785.0
250090,200401,1190,85470.0
250100,200401,1134,94525.0
250110,200401,1231,84445.0
250115,200401,266,19960.0
250120,200401,412,30975.0
250130,200401,686,56010.0
250135,200401,111,9215.0
250140,200401,70,5430.0
250150,200401,1125,92835.0
250153,200401,314,22330.0
250157,200401,642,48780.0
250160,200401,1465,110795.0
250170,200401,396,28555.0
250180,200401,457,34910.0
250190,200401,537,39435.0
250200,200401,257,19445.0
250205,200401,204,15410.0
250210,200401,578,42130.0
250215,200401,273,21665.0
250220,200401,216,15725.0
250230,200401,426,30875.0
250240,200401,675,50160.0
250250,200401,1055,80480.0
250260,200401,787,55545.0
250270,200401,315,25210.0
250280,200401,830,60220.0
250290,200401,819,58710.0
250300,200401,389,32990.0
250310,200401,344,27385.0
250320,200401,739,56030.0
250330,200401,565,42795.0
250340,200401,276,19880.0
250350,200401,1136,90750.0
250355,200401,793,61255.0
250360,200401,616,46445.0
250370,200401,3036,217510.0
250375,200401,315,22590.0
250380,200401,76,5675.0
250390,200401,622,44910.0
250400,200401,10511,796885.0
250403,200401,115,9085.0
250407,200401,308,23040.0
250410,200401,153,11930.0
250415,200401,731,53620.0
250420,200401,313,23830.0
250430,200401,1728,131245.0
250435,200401,432,32040.0
250440,200401,1079,74645.0
250450,200401,494,38615.0
250460,200401,498,38480.0
250470,200401,532,38925.0
250480,200401,790,54545.0
250485,200401,138,9495.0
250490,200401,1127,85810.0
250500,200401,277,21065.0
250510,200401,1921,138720.0
250520,200401,447,34140.0
250523,200401,129,9200.0
250527,200401,350,27505.0
250530,200401,261,19765.0
250535,200401,469,35435.0
250540,200401,695,53445.0
250550,200401,369,25955.0
250560,200401,643,49935.0
250570,200401,849,67350.0
250580,200401,461,33725.0
250590,200401,335,25115.0
250600,200401,1643,126580.0
250610,200401,925,71760.0
250620,200401,233,16420.0
250625,200401,507,39520.0
250630,200401,3496,256050.0
250640,200401,653,49625.0
250650,200401,201,15530.0
250660,200401,515,39250.0
250670,200401,1383,103110.0
250680,200401,1337,100995.0
250690,200401,775,60730.0
250700,200401,1511,110680.0
250710,200401,1012,74915.0
250720,200401,833,66560.0
250730,200401,938,70860.0
250740,200401,500,39750.0
250750,200401,10203,723200.0
250760,200401,509,40130.0
250770,200401,695,55095.0
250780,200401,759,53305.0
250790,200401,151,12300.0
250800,200401,1140,85945.0
250810,200401,349,26350.0
250820,200401,589,41325.0
250830,200401,1507,113400.0
250840,200401,167,12460.0
250850,200401,783,57510.0
250855,200401,300,23730.0
250860,200401,258,19795.0
250870,200401,471,33400.0
250880,200401,437,31635.0
250890,200401,1079,82390.0
250900,200401,1024,80875.0
250905,200401,227,18085.0
250910,200401,895,66800.0
250915,200401,452,33465.0
250920,200401,1138,87540.0
250930,200401,349,28135.0
250933,200401,433,33060.0
250937,200401,264,18725.0
250939,200401,357,28040.0
250940,200401,827,63780.0
250950,200401,463,34945.0
250960,200401,381,30825.0
250970,200401,2397,178765.0
250980,200401,773,55010.0
250990,200401,292,23235.0
251000,200401,614,45810.0
251010,200401,473,37815.0
251020,200401,624,49525.0
251030,200401,356,26150.0
251040,200401,1071,76785.0
251050,200401,355,26635.0
251060,200401,117,8775.0
251065,200401,166,12470.0
251070,200401,358,24300.0
251080,200401,5067,370515.0
251090,200401,1145,79445.0
251100,200401,441,33320.0
251110,200401,501,38095.0
251120,200401,283,22520.0
251130,200401,1469,105075.0
251140,200401,1281,98700.0
251150,200401,1091,77080.0
251160,200401,668,51040.0
251170,200401,395,30710.0
251180,200401,1054,76985.0
251190,200401,296,23380.0
251200,200401,1375,100800.0
251203,200401,486,36175.0
251207,200401,410,29795.0
251210,200401,730,58390.0
251220,200401,263,19220.0
251230,200401,1531,120875.0
251240,200401,1390,100220.0
251250,200401,1919,152960.0
251260,200401,211,15310.0
251270,200401,566,45235.0
251272,200401,222,16550.0
251274,200401,219,15535.0
251275,200401,405,29290.0
251276,200401,421,30445.0
251278,200401,130,10125.0
251280,200401,701,52765.0
251290,200401,679,38880.0
251300,200401,368,27040.0
251310,200401,1035,72545.0
251315,200401,644,50025.0
251320,200401,325,22975.0
251330,200401,312,22115.0
251335,200401,336,26580.0
251340,200401,1086,78660.0
251350,200401,668,48035.0
251360,200401,710,50680.0
251365,200401,337,23360.0
251370,200401,4381,320380.0
251380,200401,427,33335.0
251385,200401,264,19460.0
251390,200401,1776,130455.0
251392,200401,242,16190.0
251394,200401,184,14135.0
251396,200401,190,14240.0
251398,200401,515,34575.0
251400,200401,383,27495.0
251410,200401,432,30660.0
251420,200401,455,33655.0
251430,200401,437,34765.0
251440,200401,378,27800.0
251445,200401,166,13290.0
251450,200401,1459,108760.0
251455,200401,391,30185.0
251460,200401,495,34095.0
251465,200401,154,9915.0
251470,200401,354,22925.0
251480,200401,146,11275.0
251490,200401,690,46695.0
251500,200401,162,12865.0
251510,200401,790,58560.0
251520,200401,353,25955.0
251530,200401,1276,100600.0
251540,200401,896,70055.0
251550,200401,945,68850.0
251560,200401,404,29520.0
251570,200401,272,20090.0
251580,200401,695,52110.0
251590,200401,566,43355.0
251593,200401,382,26280.0
251597,200401,519,40325.0
251600,200401,2943,211690.0
251610,200401,1333,94860.0
251615,200401,271,20625.0
251620,200401,4128,279175.0
251630,200401,1181,87545.0
251640,200401,886,60735.0
251650,200401,1353,101310.0
251660,200401,1202,93635.0
251670,200401,547,43465.0
251675,200401,123,9670.0
251680,200401,693,49180.0
251690,200401,967,69725.0
251700,200401,537,42140.0
251710,200401,206,13685.0
251720,200401,218,17020.0
251740,200401,104,8230.0
250010,200402,585,48355.0
250020,200402,702,49360.0
250030,200402,2403,185515.0
250040,200402,1342,102530.0
250050,200402,1153,89105.0
250053,200402,406,31625.0
250057,200402,147,11170.0
250060,200402,142,11745.0
250070,200402,1281,82940.0
250073,200402,216,15330.0
250077,200402,416,29375.0
250080,200402,977,75785.0
250090,200402,1190,85470.0
250100,200402,1134,94525.0
250110,200402,1231,84445.0
250115,200402,266,19960.0
250120,200402,412,30975.0
